Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,4.01,..,7.79,7.8,5,..,..,..,5.47,5.47,..,..,..,..,5.63,..,..,..,..,..
Afghanistan,AFG,"Lead time to import, median case (days)",LP.IMP.DURS.MD,..,..,..,20.7,..,..,4,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..,..,..,..,..,..,108.019487128,109.421117469991,116.660723422675,84.621216,34.283472,33.102038592,29.010880897,21.462556513,29.5593487980126,20.0142059549175,19.878902393,12.020124731,..,..
Afghanistan,AFG,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Logistics performance index: Overall (1=low to 5=high),LP.LPI.OVRL.XQ,..,..,..,1.21,..,..,2.24,..,2.3,..,2.069573,..,2.141282,..,1.95,..,..,..,1.9,..
Afghanistan,AFG,Changes in inventories (current US$),NE.GDI.STKB.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8854778.35869236,1896921.32269099,4572282.48587571,..
Afghanistan,AFG,"Cost to import, border compliance (US$)",IC.IMP.CSBC.CD,..,..,..,..,..,..,..,..,..,..,850,850,750,750,750,750,..,..,..,..
Afghanistan,AFG,"Time to import, border compliance (hours)",IC.IMP.TMBC,..,..,..,..,..,..,..,..,..,..,96,96,96,96,96,96,..,..,..,..
Afghanistan,AFG,"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,15.2,15.2,15.1,15,15,14.4,14.4,14.2,13.8,14,14.1,14.4,14.8,15.1,14.2,15.9,..,..,..,..
Afghanistan,AFG,Transport services (% of commercial service imports),TM.VAL.TRAN.ZS.WT,..,..,..,..,75.5958239079274,66.9612330961435,69.057743012175,59.1995129388668,64.3281030825589,72.8056437873303,60.478500519491,76.2290761387363,83.945384938284,83.0330838777485,73.3806766000801,79.4619662337355,88.8506562965436,..,..,..
Albania,ALB,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,7.34,7.11,6.61,5.72,2.08,4.9,4.87,1.24,1.1,1.17,1.14,1.11,1.06,0.85,1.02,1.02,1.1,1.13,..,..
Albania,ALB,"Lead time to import, median case (days)",LP.IMP.DURS.MD,..,..,..,..,..,..,2,..,..,..,1,..,..,..,14,..,..,..,..,..
Albania,ALB,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0.099,0.1,0.105,0.107,0.106,0.153,0,0,0,0,..,..,..,..,0,0,..,..,..,..
Albania,ALB,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,32,26,36,53,52,46,66,50,25,23,39.887,23.124,8.8,25.3,20.4,43,26.039,25.1151187,..,..
Albania,ALB,Logistics performance index: Overall (1=low to 5=high),LP.LPI.OVRL.XQ,..,..,..,2.08,..,..,2.46,..,2.77,..,..,..,2.412498,..,2.66,..,..,..,2.5,..
Albania,ALB,Changes in inventories (current US$),NE.GDI.STKB.CD,-258572853.377695,-84560914.4040026,-211079685.870549,-205300590.103315,235616226.283159,222689604.721593,224249830.909048,263918828.045158,226669305.500129,252067095.409203,200541240.045506,160048850.417326,101519382.967155,61978409.6853309,7211186.2850095,107704523.278399,47842061.6658997,82244010.8191654,..,..
Albania,ALB,"Cost to import, border compliance (US$)",IC.IMP.CSBC.CD,..,..,..,..,..,..,..,..,..,..,52.3,52.3,77.3,77.3,77.3,77.3,..,..,..,..
Albania,ALB,"Time to import, border compliance (hours)",IC.IMP.TMBC,..,..,..,..,..,..,..,..,..,..,9,9,10,10,10,10,..,..,..,..
Albania,ALB,"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,14.7,14.9,14.9,14.8,14.5,14.4,14.1,14.3,13.8,13.9,13.6,13.8,13.8,11.4,11,11.7,..,..,..,..
Albania,ALB,Transport services (% of commercial service imports),TM.VAL.TRAN.ZS.WT,20.597335081427,17.1980312525563,16.2322215010904,12.9933752008859,14.8853694136394,14.7351381886576,15.9409532374361,17.106292113282,17.7007912951165,11.4301162036101,11.1629456631496,11.6247709966372,13.6954889609807,11.8180978653131,11.5071984518693,10.871750287847,16.4164461020538,14.0190266799306,12.83077702501,12.3847197834041
Algeria,DZA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,..,10.23,9.93,9.63,9.2,9.36,..,..,..,..,8.35,8.27,8.85,9.38,9.98,9.99,10.16,10.29,..,..
Algeria,DZA,"Lead time to import, median case (days)",LP.IMP.DURS.MD,..,..,..,..,..,..,7.07,..,39,..,4,..,5,..,..,..,..,..,..,..
Algeria,DZA,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,21.44,31.624,23.694,16.572,16.985,4.317,15.906,14.826,14.926,17.5024186277313,21.6623331878,21.9016451671492,21.591025,24.80375,28.28048,25.641745,15.638799,12.694836,..,..
Algeria,DZA,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,1945,1471,1429,1424.881,1562.16,1184,1281,1248,1253,..,928,1011,885,1009,1026,908,..,..,..,..
Algeria,DZA,Logistics performance index: Overall (1=low to 5=high),LP.LPI.OVRL.XQ,..,..,..,2.06,..,..,2.36,..,2.41,..,2.649451,..,2.769683,..,2.45,..,..,..,2.5,..
Algeria,DZA,Changes in inventories (current US$),NE.GDI.STKB.CD,6204180925.49882,6788565275.42299,6394461561.78202,7940452343.98,9915999306.31685,10962729755.4158,11488616074.3483,15717237090.6351,17967300259.5041,20750626193.8001,19830509970.108,16819365357.5275,14921730948.9326,12836048244.052,10599783906.162,9203479296.36082,6363348814.60961,7501954623.12793,10632017083.7031,10928550107.2036
Algeria,DZA,"Cost to import, border compliance (US$)",IC.IMP.CSBC.CD,..,..,..,..,..,..,..,..,..,..,408.7778,408.7778,408.7778,408.7778,408.7778,408.7778,..,..,..,..
Algeria,DZA,"Time to import, border compliance (hours)",IC.IMP.TMBC,..,..,..,..,..,..,..,..,..,..,327.3896,327.3896,327.3896,327.3896,209.5714,209.5714,..,..,..,..
Algeria,DZA,"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,22.5,22.1,22.2,22.3,22.4,22.5,22.3,22.3,21.4,21.1,21.2,21.2,21.1,21,21,20.9,..,..,..,..
Algeria,DZA,Transport services (% of commercial service imports),TM.VAL.TRAN.ZS.WT,..,39.6521356230734,36.0908890359582,33.5340101718576,29.4321717075718,26.2269672179057,25.8500770341268,28.3010187352328,36.1559590224357,39.2623148828178,36.0914178930169,35.0960458723306,34.7589852690795,32.1923944735457,31.6061259716804,36.3681092383332,36.0934015659548,42.1947448877519,43.0442761933655,44.5106262414512
American Samoa,ASM,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Lead time to import, median case (days)",LP.IMP.DURS.MD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..,..,..,..,..,..,0.00900000015407667,0.00953562016324629,0.0105628109495541,0.010932,0.011652,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Logistics performance index: Overall (1=low to 5=high),LP.LPI.OVRL.XQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Changes in inventories (current US$),NE.GDI.STKB.CD,8000000,-6000000,-3000000,-8000000,-17000000,-6000000,-5000000,-3000000,..,6000000,32000000,23000000,46000000,38000000,-11000000,-4000000,19000000,3000000,-29000000,..
American Samoa,ASM,"Cost to import, border compliance (US$)",IC.IMP.CSBC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Time to import, border compliance (hours)",IC.IMP.TMBC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Transport services (% of commercial service imports),TM.VAL.TRAN.ZS.WT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Lead time to import, median case (days)",LP.IMP.DURS.MD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Logistics performance index: Overall (1=low to 5=high),LP.LPI.OVRL.XQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Changes in inventories (current US$),NE.GDI.STKB.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Cost to import, border compliance (US$)",IC.IMP.CSBC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
